event_id,threat_type,severity,risk_score,current_status,predicted_next_status
188,XSS,High,70,Fixed,Fixed
189,Open Redirect,Critical,34,Discovered,Verified
190,Misconfiguration,Critical,96,Discovered,Verified
191,SQL Injection,Critical,10,Discovered,Exploitable
192,RCE,High,16,Verified,Fixed
193,IDOR,Low,23,Exploitable,Exploitable
194,RCE,Critical,23,Exploitable,Fixed
195,IDOR,Low,50,Verified,Verified
196,Open Redirect,High,2,Fixed,Fixed
197,RCE,Low,27,Discovered,Verified
198,CSRF,Low,13,Exploitable,Exploitable
199,Open Redirect,Low,7,Exploitable,Exploitable
200,IDOR,Critical,12,Exploitable,Fixed
201,Open Redirect,High,78,Verified,Exploitable
202,IDOR,Medium,49,Exploitable,Verified
203,IDOR,High,73,Verified,Exploitable
204,Misconfiguration,High,50,Exploitable,Exploitable
205,CSRF,Critical,98,Fixed,Fixed
206,Open Redirect,Medium,75,Fixed,Fixed
207,SQL Injection,High,7,Discovered,Exploitable
208,XSS,Critical,16,Verified,Exploitable
209,CSRF,High,26,Fixed,Fixed
210,RCE,Medium,6,Verified,Exploitable
211,SQL Injection,Critical,77,Fixed,Fixed
212,Open Redirect,Critical,66,Exploitable,Fixed
213,Misconfiguration,Low,46,Discovered,Discovered
214,CSRF,Critical,83,Verified,Exploitable
215,Path Traversal,Low,11,Discovered,Verified
216,XSS,Critical,55,Exploitable,Exploitable
217,Open Redirect,Medium,5,Verified,Exploitable
218,CSRF,Low,68,Exploitable,Fixed
219,Misconfiguration,High,81,Fixed,Fixed
220,RCE,Critical,15,Verified,Exploitable
221,Misconfiguration,High,81,Verified,Exploitable
222,IDOR,Low,87,Verified,Exploitable
223,Open Redirect,Critical,87,Fixed,Fixed
224,XSS,High,76,Discovered,Verified
225,XSS,Critical,2,Discovered,Verified
226,XSS,Low,73,Verified,Exploitable
227,SQL Injection,Low,54,Exploitable,Exploitable
228,CSRF,High,68,Fixed,Fixed
229,XSS,Critical,51,Discovered,Verified
230,CSRF,Medium,9,Exploitable,Exploitable
231,RCE,Medium,6,Exploitable,Exploitable
232,IDOR,High,62,Verified,Verified
233,IDOR,Critical,33,Verified,Exploitable
234,Open Redirect,High,75,Fixed,Fixed
235,SQL Injection,Medium,91,Exploitable,Fixed
236,RCE,Critical,96,Fixed,Fixed
237,CSRF,Medium,23,Verified,Exploitable
238,XSS,Low,88,Fixed,Fixed
239,RCE,High,8,Exploitable,Fixed
240,RCE,Low,95,Verified,Verified
241,Path Traversal,Critical,18,Exploitable,Exploitable
242,IDOR,Medium,16,Exploitable,Verified
243,SQL Injection,High,79,Fixed,Fixed
244,RCE,Critical,48,Fixed,Fixed
245,Open Redirect,Low,19,Discovered,Verified
246,CSRF,High,94,Verified,Verified
247,XSS,Medium,57,Exploitable,Exploitable
248,SQL Injection,Low,91,Verified,Exploitable
249,SQL Injection,Medium,36,Fixed,Fixed
250,RCE,Critical,20,Fixed,Fixed
251,XSS,Low,82,Fixed,Fixed
252,RCE,Medium,5,Discovered,Verified
253,RCE,Medium,57,Exploitable,Verified
254,SQL Injection,Critical,23,Discovered,Verified
255,Open Redirect,High,52,Exploitable,Exploitable
256,SQL Injection,High,55,Discovered,Discovered
257,RCE,Medium,93,Verified,Exploitable
258,CSRF,Critical,48,Fixed,Fixed
259,CSRF,High,5,Discovered,Verified
260,IDOR,Low,17,Exploitable,Fixed
261,RCE,Critical,90,Discovered,Verified
262,SQL Injection,Medium,70,Discovered,Verified
263,XSS,Low,8,Verified,Verified
264,Open Redirect,Medium,81,Discovered,Verified
265,RCE,Low,15,Fixed,Fixed
266,RCE,Low,79,Discovered,Verified
267,IDOR,Critical,60,Fixed,Fixed
268,Open Redirect,Medium,45,Verified,Exploitable
269,Path Traversal,Low,63,Verified,Exploitable
270,IDOR,High,37,Verified,Exploitable
271,SQL Injection,High,75,Discovered,Verified
272,XSS,Critical,81,Verified,Exploitable
273,Open Redirect,Low,33,Exploitable,Fixed
274,SQL Injection,Low,54,Fixed,Fixed
275,RCE,Low,55,Exploitable,Exploitable
276,XSS,High,29,Exploitable,Exploitable
277,Misconfiguration,High,19,Fixed,Fixed
278,Misconfiguration,Low,59,Verified,Fixed
279,IDOR,Medium,29,Fixed,Fixed
280,RCE,Low,98,Exploitable,Fixed
281,SQL Injection,High,57,Fixed,Discovered
282,Path Traversal,Low,28,Fixed,Fixed
283,Open Redirect,Critical,61,Fixed,Fixed
284,SQL Injection,High,0,Discovered,Fixed
285,CSRF,High,39,Exploitable,Exploitable
286,SQL Injection,Medium,14,Fixed,Fixed
287,Misconfiguration,High,94,Exploitable,Fixed
288,Open Redirect,Medium,66,Exploitable,Exploitable
289,Path Traversal,Low,89,Fixed,Fixed
290,RCE,Medium,40,Verified,Exploitable
291,Open Redirect,Critical,52,Fixed,Fixed
292,CSRF,High,2,Verified,Exploitable
293,RCE,Low,40,Verified,Exploitable
294,RCE,Low,63,Exploitable,Exploitable
295,SQL Injection,Critical,11,Exploitable,Fixed
296,IDOR,High,17,Exploitable,Exploitable
297,Path Traversal,High,99,Verified,Exploitable
298,RCE,Critical,85,Fixed,Fixed
299,Open Redirect,Critical,9,Verified,Exploitable
300,CSRF,Critical,8,Verified,Exploitable
301,IDOR,Critical,32,Discovered,Verified
302,RCE,Critical,52,Exploitable,Fixed
303,XSS,Low,56,Fixed,Fixed
304,SQL Injection,Low,47,Exploitable,Fixed
305,RCE,Medium,9,Exploitable,Fixed
306,Misconfiguration,Low,17,Exploitable,Fixed
307,IDOR,Low,44,Exploitable,Fixed
308,XSS,Critical,36,Exploitable,Fixed
309,SQL Injection,Low,46,Exploitable,Fixed
310,Open Redirect,Low,14,Fixed,Fixed
311,Path Traversal,Low,90,Discovered,Verified
312,RCE,Low,94,Exploitable,Verified
313,IDOR,Critical,82,Exploitable,Fixed
314,Misconfiguration,Low,6,Verified,Verified
315,CSRF,Low,48,Exploitable,Fixed
316,SQL Injection,Medium,42,Verified,Exploitable
317,IDOR,Critical,91,Discovered,Verified
318,Path Traversal,Medium,31,Verified,Exploitable
319,CSRF,Critical,20,Discovered,Verified
320,XSS,Medium,9,Verified,Exploitable
321,XSS,Low,12,Verified,Exploitable
322,Open Redirect,Critical,51,Exploitable,Exploitable
323,XSS,Low,25,Fixed,Fixed
324,IDOR,High,94,Verified,Exploitable
325,SQL Injection,High,74,Verified,Verified
326,Misconfiguration,Critical,100,Exploitable,Fixed
327,CSRF,High,10,Verified,Exploitable
328,Misconfiguration,High,14,Verified,Exploitable
329,SQL Injection,Critical,38,Discovered,Verified
330,Open Redirect,Low,6,Exploitable,Exploitable
331,Path Traversal,Low,19,Discovered,Fixed
332,CSRF,High,91,Exploitable,Exploitable
333,Open Redirect,Critical,47,Exploitable,Exploitable
334,SQL Injection,High,3,Exploitable,Exploitable
335,XSS,Medium,8,Discovered,Verified
336,Path Traversal,High,28,Verified,Verified
337,IDOR,Medium,56,Fixed,Fixed
338,XSS,High,37,Verified,Exploitable
339,IDOR,Critical,13,Verified,Exploitable
340,RCE,Low,30,Fixed,Fixed
341,CSRF,Medium,28,Exploitable,Exploitable
342,XSS,Medium,87,Verified,Exploitable
343,Open Redirect,Low,38,Fixed,Fixed
344,Open Redirect,Critical,79,Verified,Verified
345,XSS,Critical,57,Exploitable,Fixed
346,XSS,Critical,12,Exploitable,Fixed
347,RCE,Medium,73,Fixed,Fixed
348,IDOR,Medium,34,Fixed,Fixed
349,XSS,Medium,68,Exploitable,Exploitable
350,RCE,Medium,65,Discovered,Fixed
351,Path Traversal,High,72,Fixed,Fixed
352,RCE,High,33,Exploitable,Fixed
353,Open Redirect,Critical,51,Fixed,Fixed
354,Open Redirect,Medium,85,Verified,Fixed
355,SQL Injection,Low,23,Fixed,Fixed
356,Misconfiguration,Critical,94,Discovered,Verified
357,Path Traversal,High,90,Verified,Exploitable
358,CSRF,Low,62,Exploitable,Exploitable
359,CSRF,High,83,Exploitable,Fixed
360,Path Traversal,Critical,30,Exploitable,Exploitable
361,Misconfiguration,Medium,76,Discovered,Verified
362,Path Traversal,Medium,69,Verified,Exploitable
363,XSS,Critical,41,Exploitable,Exploitable
364,XSS,Medium,74,Exploitable,Fixed
365,Misconfiguration,Medium,45,Discovered,Fixed
366,CSRF,Low,62,Verified,Discovered
367,SQL Injection,Critical,56,Verified,Exploitable
368,RCE,Medium,61,Discovered,Exploitable
369,SQL Injection,High,37,Verified,Exploitable
370,Open Redirect,Medium,94,Exploitable,Fixed
371,SQL Injection,Medium,89,Fixed,Fixed
372,XSS,Critical,35,Verified,Verified
373,RCE,Low,52,Fixed,Fixed
374,XSS,Medium,70,Fixed,Fixed
375,CSRF,Critical,1,Verified,Exploitable
376,SQL Injection,Medium,68,Verified,Exploitable
377,SQL Injection,Critical,66,Verified,Exploitable
378,IDOR,High,30,Discovered,Verified
379,CSRF,High,64,Verified,Exploitable
380,XSS,Low,19,Verified,Exploitable
381,CSRF,Critical,23,Discovered,Verified
382,Open Redirect,Low,74,Discovered,Verified
383,RCE,High,39,Fixed,Exploitable
384,XSS,Low,22,Verified,Verified
385,IDOR,High,82,Fixed,Fixed
386,CSRF,High,7,Exploitable,Exploitable
387,Misconfiguration,Critical,26,Exploitable,Fixed
388,Open Redirect,Low,8,Verified,Exploitable
389,IDOR,Medium,79,Discovered,Verified
390,Path Traversal,High,39,Verified,Exploitable
391,RCE,Critical,25,Discovered,Fixed
392,SQL Injection,Low,76,Discovered,Exploitable
393,Open Redirect,Critical,33,Discovered,Verified
394,Open Redirect,Medium,21,Exploitable,Fixed
395,Open Redirect,High,80,Exploitable,Exploitable
396,IDOR,Low,44,Discovered,Verified
397,IDOR,Low,88,Discovered,Verified
398,Path Traversal,High,86,Verified,Verified
399,IDOR,Critical,42,Exploitable,Fixed
400,RCE,Critical,72,Verified,Fixed
401,CSRF,Critical,64,Verified,Exploitable
402,CSRF,High,16,Discovered,Verified
403,Path Traversal,Low,60,Exploitable,Verified
404,IDOR,Low,30,Verified,Exploitable
405,Path Traversal,Low,63,Fixed,Fixed
406,RCE,Low,28,Exploitable,Exploitable
407,XSS,Medium,95,Exploitable,Exploitable
408,CSRF,Medium,86,Discovered,Verified
409,SQL Injection,Critical,76,Verified,Verified
410,SQL Injection,High,46,Fixed,Fixed
411,RCE,Low,66,Discovered,Exploitable
412,Path Traversal,Low,9,Verified,Exploitable
413,RCE,Medium,88,Exploitable,Fixed
414,IDOR,High,49,Exploitable,Exploitable
415,RCE,Medium,12,Discovered,Verified
416,SQL Injection,High,64,Verified,Verified
417,Misconfiguration,Medium,32,Exploitable,Fixed
418,XSS,Critical,64,Exploitable,Exploitable
419,IDOR,Critical,49,Discovered,Verified
420,RCE,Critical,4,Exploitable,Exploitable
421,IDOR,High,88,Exploitable,Fixed
422,Open Redirect,High,42,Discovered,Verified
423,IDOR,Medium,4,Verified,Exploitable
424,Open Redirect,Medium,3,Verified,Exploitable
425,XSS,Critical,6,Discovered,Verified
426,SQL Injection,Critical,17,Fixed,Fixed
427,RCE,Critical,61,Verified,Verified
428,Misconfiguration,Critical,8,Verified,Exploitable
429,Open Redirect,High,4,Discovered,Verified
430,RCE,Critical,95,Fixed,Fixed
431,XSS,Low,87,Discovered,Verified
432,SQL Injection,High,65,Discovered,Verified
433,Misconfiguration,Low,9,Exploitable,Exploitable
434,IDOR,Medium,7,Exploitable,Exploitable
435,Path Traversal,Low,8,Verified,Exploitable
436,IDOR,Medium,39,Verified,Exploitable
437,RCE,Medium,12,Exploitable,Exploitable
438,XSS,High,72,Verified,Exploitable
439,SQL Injection,Critical,31,Fixed,Fixed
440,XSS,High,86,Exploitable,Verified
441,Open Redirect,Low,90,Exploitable,Exploitable
442,Misconfiguration,High,46,Verified,Exploitable
443,Path Traversal,High,80,Verified,Exploitable
444,SQL Injection,Critical,84,Exploitable,Verified
445,Path Traversal,High,86,Exploitable,Fixed
446,Open Redirect,Low,12,Exploitable,Exploitable
447,Path Traversal,High,33,Verified,Discovered
448,Misconfiguration,Critical,29,Fixed,Fixed
449,SQL Injection,Low,60,Fixed,Fixed
450,XSS,Medium,80,Verified,Verified
451,Path Traversal,Low,63,Discovered,Verified
452,IDOR,Critical,48,Discovered,Verified
453,Misconfiguration,Low,37,Fixed,Fixed
454,Misconfiguration,High,87,Verified,Verified
455,Misconfiguration,Critical,81,Fixed,Fixed
456,CSRF,Low,2,Verified,Exploitable
457,CSRF,Medium,61,Discovered,Verified
458,Misconfiguration,Medium,57,Verified,Exploitable
459,Path Traversal,Medium,86,Verified,Exploitable
460,SQL Injection,Critical,92,Verified,Exploitable
461,IDOR,Medium,74,Fixed,Fixed
462,RCE,Low,20,Discovered,Verified
463,Path Traversal,Critical,62,Verified,Fixed
464,IDOR,Low,27,Exploitable,Exploitable
465,XSS,Critical,4,Fixed,Fixed
466,RCE,Medium,94,Verified,Exploitable
467,CSRF,High,38,Verified,Fixed
468,CSRF,Critical,93,Fixed,Fixed
469,IDOR,Medium,68,Exploitable,Fixed
470,RCE,Medium,39,Exploitable,Fixed
471,IDOR,High,42,Verified,Exploitable
472,CSRF,High,79,Discovered,Verified
473,RCE,Low,44,Exploitable,Exploitable
474,RCE,Low,34,Discovered,Verified
475,Open Redirect,High,17,Verified,Exploitable
476,Misconfiguration,High,88,Fixed,Fixed
477,Open Redirect,Critical,31,Exploitable,Exploitable
478,Misconfiguration,Medium,77,Discovered,Exploitable
479,XSS,Medium,11,Verified,Exploitable
480,SQL Injection,Low,67,Discovered,Discovered
481,Open Redirect,Medium,64,Fixed,Fixed
482,Open Redirect,Low,45,Verified,Exploitable
483,RCE,Critical,57,Discovered,Verified
484,XSS,Low,73,Verified,Exploitable
485,IDOR,High,14,Verified,Exploitable
486,Open Redirect,Low,97,Exploitable,Fixed
487,Misconfiguration,Medium,13,Discovered,Verified
488,Path Traversal,Critical,63,Exploitable,Exploitable
489,SQL Injection,Critical,46,Fixed,Fixed
490,Open Redirect,Critical,41,Exploitable,Exploitable
491,Open Redirect,High,9,Fixed,Fixed
492,XSS,Medium,40,Verified,Exploitable
493,RCE,Medium,72,Discovered,Verified
494,Misconfiguration,Critical,41,Discovered,Verified
495,Path Traversal,Medium,0,Discovered,Verified
496,SQL Injection,Medium,24,Exploitable,Fixed
497,RCE,Low,15,Exploitable,Exploitable
498,Open Redirect,Low,27,Fixed,Fixed
499,IDOR,High,84,Verified,Exploitable
500,XSS,Low,93,Verified,Verified
501,RCE,High,78,Verified,Exploitable
502,Path Traversal,Medium,37,Exploitable,Exploitable
503,Misconfiguration,High,84,Fixed,Fixed
504,Open Redirect,High,65,Verified,Exploitable
505,SQL Injection,Critical,84,Fixed,Fixed
506,RCE,Medium,50,Discovered,Exploitable
507,IDOR,High,25,Exploitable,Fixed
508,Open Redirect,Medium,16,Verified,Exploitable
509,IDOR,High,85,Discovered,Verified
510,Path Traversal,Medium,74,Fixed,Exploitable
511,SQL Injection,Critical,33,Fixed,Fixed
512,Path Traversal,Low,43,Exploitable,Exploitable
513,RCE,High,61,Fixed,Fixed
514,SQL Injection,Low,36,Fixed,Fixed
515,RCE,Medium,71,Fixed,Fixed
516,Misconfiguration,Critical,37,Verified,Exploitable
517,SQL Injection,Low,78,Verified,Fixed
518,SQL Injection,Low,51,Discovered,Exploitable
519,Path Traversal,Critical,70,Verified,Exploitable
520,SQL Injection,Medium,17,Fixed,Fixed
521,CSRF,Low,44,Fixed,Fixed
522,IDOR,Low,72,Exploitable,Fixed
523,IDOR,High,97,Exploitable,Exploitable
524,Open Redirect,Medium,93,Verified,Exploitable
525,Path Traversal,Medium,99,Fixed,Fixed
526,Path Traversal,High,82,Discovered,Verified
527,XSS,Low,96,Discovered,Verified
528,Open Redirect,High,53,Discovered,Discovered
529,Path Traversal,Critical,94,Fixed,Fixed
530,XSS,Low,85,Verified,Exploitable
531,SQL Injection,Medium,39,Exploitable,Fixed
532,CSRF,Low,6,Fixed,Fixed
533,CSRF,High,50,Exploitable,Fixed
534,RCE,High,17,Exploitable,Exploitable
535,XSS,Critical,40,Fixed,Fixed
536,CSRF,Critical,92,Exploitable,Exploitable
537,Misconfiguration,Critical,12,Fixed,Fixed
538,Open Redirect,Critical,0,Fixed,Fixed
539,SQL Injection,Medium,88,Exploitable,Fixed
540,CSRF,Medium,71,Exploitable,Fixed
541,RCE,Low,98,Fixed,Fixed
542,SQL Injection,Low,51,Fixed,Fixed
543,Misconfiguration,Medium,69,Exploitable,Exploitable
544,Open Redirect,High,82,Fixed,Fixed
545,IDOR,Low,69,Fixed,Fixed
546,Path Traversal,High,43,Discovered,Verified
547,Open Redirect,Low,45,Fixed,Fixed
548,SQL Injection,Low,29,Exploitable,Exploitable
549,IDOR,Low,52,Discovered,Verified
550,Path Traversal,High,85,Verified,Fixed
551,XSS,Low,82,Fixed,Fixed
552,RCE,Critical,59,Fixed,Fixed
553,Open Redirect,Low,99,Fixed,Fixed
554,CSRF,Critical,59,Verified,Verified
555,CSRF,Low,1,Fixed,Fixed
556,Path Traversal,High,17,Discovered,Verified
557,RCE,High,24,Exploitable,Exploitable
558,RCE,Medium,72,Discovered,Verified
559,XSS,Low,40,Exploitable,Exploitable
560,IDOR,Medium,73,Verified,Verified
561,Misconfiguration,Critical,84,Fixed,Fixed
562,IDOR,High,47,Verified,Exploitable
563,CSRF,Medium,68,Fixed,Fixed
564,IDOR,Low,22,Exploitable,Verified
565,IDOR,High,63,Verified,Exploitable
566,Open Redirect,Low,27,Discovered,Exploitable
567,IDOR,Medium,92,Discovered,Verified
568,CSRF,Low,3,Discovered,Verified
569,Misconfiguration,Critical,41,Verified,Exploitable
570,Misconfiguration,Critical,50,Exploitable,Exploitable
571,IDOR,Low,39,Discovered,Verified
572,Path Traversal,Low,37,Fixed,Fixed
573,CSRF,High,23,Exploitable,Fixed
574,RCE,High,35,Verified,Discovered
575,Misconfiguration,High,59,Verified,Exploitable
576,XSS,Medium,45,Fixed,Fixed
577,IDOR,Low,67,Discovered,Verified
578,SQL Injection,Low,38,Discovered,Discovered
579,Open Redirect,Medium,47,Discovered,Fixed
580,RCE,Critical,58,Discovered,Verified
581,Open Redirect,Critical,21,Verified,Exploitable
582,RCE,Medium,97,Fixed,Fixed
583,RCE,Medium,68,Verified,Exploitable
584,CSRF,High,34,Verified,Exploitable
585,Path Traversal,Critical,66,Exploitable,Fixed
586,RCE,Critical,19,Discovered,Verified
587,SQL Injection,High,9,Fixed,Fixed
588,IDOR,Medium,79,Discovered,Verified
589,SQL Injection,Low,94,Verified,Exploitable
590,XSS,Low,72,Discovered,Verified
591,Open Redirect,Critical,28,Exploitable,Exploitable
592,IDOR,Critical,32,Verified,Exploitable
593,RCE,Medium,35,Discovered,Discovered
594,Path Traversal,Low,54,Fixed,Fixed
595,Misconfiguration,Medium,60,Exploitable,Fixed
596,CSRF,Critical,19,Verified,Verified
597,SQL Injection,Critical,64,Verified,Exploitable
598,Open Redirect,Low,96,Fixed,Fixed
599,SQL Injection,Low,27,Exploitable,Fixed
600,XSS,Medium,83,Fixed,Fixed
601,Open Redirect,Low,62,Exploitable,Exploitable
602,SQL Injection,Medium,55,Discovered,Verified
603,Open Redirect,High,94,Fixed,Fixed
604,SQL Injection,Medium,6,Exploitable,Verified
